    109 Felicitas         -           8.76  0.03    88.97  0.07   - -                 13.191      - 0.06 0.12 3  -     - - - -
    110 Lydia             -           7.80  0.2     86.09  0.1808 - -                 10.927      - 0.07 0.26 3  -     Y - - -
    111 Ate               -           8.02  0.15   134.55  0.0605 - -                 22.072      - 0.08 0.13 3  -     - - - -
    112 Iphigenia         -           9.84  0.15    72.18  0.0393 - -                 31.466      - -.99 0.30 3  -     Y - - -
    113 Amalthea          -           8.74  0.35    46.14  0.2649 - -                  9.950      - 0.19 0.22 3  -     Y - - -
    114 Kassandra         -           8.28  0.09    99.80  0.0868 - -                 10.7431     - 0.12 0.25 3  -     - - - -
    115 Thyra             -           7.51  0.12    79.83  0.2747 - -                  7.241      - 0.13 0.20 3  -     Y - - -
    116 Sirona            -           7.82  0.15    71.70  0.2560 - -                 12.028      - 0.42 0.55 3  -     Y - - -
    117 Lomia             -           7.95  0.15   148.71  0.0528 - -                  9.127      - 0.10 0.35 3  -     Y - - -
    118 Peitho            -           9.14  0.15    41.73  0.2240 - -                  7.8055     - 0.08 0.33 3  -     - - - -
    119 Althaea           -           8.42  0.15    57.30  0.2306 - -                 11.484      - 0.23 0.36 3  -     Y - - -
    120 Lachesis          -           7.75  0.15   174.10  0.0463 - -                 46.551      - 0.14 0.22 3  -     Y - - -
    121 Hermione          -           7.31  0.09   206.16  0.0495 - -                  5.55128    - 0.04 0.70 3  -     Y B - -
    122 Gerda             -           7.87  0.15    81.69  0.1883 - -                 10.685      - 0.10 0.26 3  -     Y - - -
    123 Brunhild          -           8.9   0.15    47.78  0.2131 - -                 10.04       - 0.16 0.21 3  -     - - - -
    124 Alkeste           -           8.11  0.19    76.36  0.1728 - -                  9.921      - 0.08 0.15 3  -     - - - -
    125 Liberatrix        -           8.9   0.22    61.06  0.1305 - -                  3.968      - 0.20 0.71 3  -     Y - - -
    126 Velleda           -           9.27  0.15    44.82  0.1723 - -                  5.3672     - 0.07 0.22 3  -     - - - -
    127 Johanna           -           8.37  0.09   118.    0.057  - -                 12.7988     - 0.18 0.21 3  -     Y - - -
    128 Nemesis           -           7.49  0.15   188.16  0.0504 - -                 77.81       - 0.08 0.10 3- -     - - - -
    129 Antigone          -           7.07  0.33   118.    0.1885 - -                  4.9572     - 0.21 0.49 3  -     Y - - -
    130 Elektra           -           6.99  0.09   198.64  0.0716 - -                  5.225      - 0.19 0.58 3  -     Y M - -
    131 Vala              -          10.03  0.15    40.44  0.1051 - -                  5.1812     - 0.09 0.32 3  -     - - - -
    132 Aethra            -           9.2   0.21    44.89  0.1831 - -                  5.1684     - 0.10 0.52 3  -     Y - - -
    133 Cyrene            -           7.99  0.13    80.45  0.1738 - -                 12.708      - 0.22 0.26 3  -     Y - - -
    134 Sophrosyne        -           8.77  0.28   112.19  0.0436 - -                 17.196      - 0.19 0.28 3  -     - - - -
    135 Hertha            -           8.1   0.24    77.70  0.1684 - -                  8.403      - 0.12 0.30 3  -     Y - - -
    136 Austria           -           9.69  0.15    40.14  0.1459 - -                 11.4969     - -.99 0.37 3  -     Y - - -
    137 Meliboea          -           8.1   0.09   143.79  0.0492 - -                 25.676      - 0.11 0.20 3  -     Y - - -
    138 Tolosa            -           8.75  0.15    45.50  0.2699 - -                 10.101      - 0.18 0.45 3  -     Y - - -
    139 Juewa             -           7.92  0.15   164.00  0.0444 - -                 20.991      - 0.18 0.20 3  -     Y - - -
    140 Siwa              -           8.34  0.15   109.79  0.0676 - -                 34.445      - 0.05 0.15 3  -     Y - - -
    141 Lumen             -           8.4   0.15   130.80  0.0451 - -                 19.87       - 0.12 0.2  3  -     - - - -
    142 Polana            -          10.23  0.15    55.26  0.0468 - -                  9.764      - -.99 0.11 3  -     - - - -
    143 Adria             -           9.12  0.15    89.93  0.0491 - -                 22.005      - 0.05 0.10 3  -     - - - -
    144 Vibilia           -           7.92  0.17   142.38  0.0597 - -                 13.819      - 0.13 0.20 3  -     Y - - -
    145 Adeona            -           8.05  0.09   150.95  0.0467 - -                 15.071      - 0.04 0.15 3  -     - - - -
    146 Lucina            -           8.28  0.186  131.89  0.0496 - -                 18.557      - 0.08 0.17 3  -     Y - - -
    147 Protogeneia       -           8.8   0.15   132.43  0.0304 - -                  7.8528     - 0.25 0.28 3  -     Y - - -
    148 Gallia            -           7.4   0.09    98.09  0.2013 - -                 20.664      - 0.06 0.32 3  -     Y - - -
    149 Medusa            -          10.79  0.15    19.75  0.2334 - -                 26.023      - 0.47 0.56 3  -     Y - - -
    150 Nuwa              -           8.23  0.15   151.13  0.0395 - -                  8.1347     - 0.08 0.31 3  -     Y - - -
    151 Abundantia        -           9.1   0.15    45.58  0.1947 - -                  9.864      - 0.03 0.20 3  -     - - - -
    152 Atala             -           8.33  0.15    65.    0.1946 - -                  6.246      - 0.33 0.50 3  -     Y - - -
    153 Hilda             -           7.48  0.15   170.63  0.0618 - -                  5.9587     - 0.05 0.20 3  -     Y - - -
    154 Bertha            -           7.53  0.09   188.65  0.0483 - -                 25.224      - 0.04 0.20 3  -     Y - - -
    155 Scylla            -          11.39  0.15    39.88  0.0309 - -                  7.9597     - 0.11 0.46 3  -     Y - - -
    156 Xanthippe         -           8.31 -0.12   110.41  0.0687 - -                 22.37       - 0.10 0.12 3  -     - - - -
    157 Dejanira          -          10.6   0.15    22.00  0.21   - -                 15.825      - 0.33 0.52 3  -     Y - - -
    158 Koronis           -           9.34  0.15    34.25  0.2766 - -                 14.218      - 0.28 0.43 3  -     Y - - -
    159 Aemilia           -           8.1   0.09   127.3   0.0627 - -                 24.476      - 0.17 0.26 3  -     - - - -
    160 Una               -           9.05  0.05    81.24  0.0625 - -                 11.033      - 0.08 0.23 3  -     Y - - -
    161 Athor             -           9.08  0.13    44.19  0.1980 - -                  7.280      - 0.02 0.27 3  -     Y - - -
    162 Laurentia         -           8.83  0.15    99.10  0.0529 - -                 11.8686     - 0.28 0.35 3  -     Y - - -
    163 Erigone           -           9.48 -0.04    81.61  0.0428 - -                 16.136      - 0.32 0.37 3  -     Y - - -
    164 Eva               -           8.89  0.15   104.87  0.0447 - -                 13.66       - 0.04 0.36 3  -     Y - - -
    165 Loreley           -           7.71  0.07   171.    0.0498 - -                  7.226      - 0.05 0.17 3  -     Y - - -
    166 Rhodope           -           9.75  0.09    54.56  0.0747 - -                  4.715      - 0.13 0.36 3  -     Y - - -
    167 Urda              -           9.1   0.15    44.    0.2090 - -                 13.07       - 0.24 0.39 3  -     Y - - -
    168 Sibylla           -           7.94  0.15   148.39  0.0535 - -                 47.009      - -.99 0.16 3  -     - - - -
    169 Zelia             -           9.56  0.15    33.60  0.2347 - -                 14.537      - 0.13 0.14 3  -     - - - -
    170 Maria             -           9.39  0.15    44.30  0.1579 - -                 13.120      - 0.21 0.24 3  -     Y - - -
    171 Ophelia           -           8.31  0.15   116.69  0.0615 - -                  6.66535    - 0.14 0.46 3  -     Y - - -
    172 Baucis            -           8.79  0.15    62.43  0.1382 - -                 27.417      - 0.21 0.35 3  -     - - - -
    173 Ino               -           7.66  0.01   154.10  0.0642 - -                  6.15       - 0.04 0.15 3  -     Y - - -
    174 Phaedra           -           8.48  0.15    69.24  0.1495 - -                  5.744      - 0.10 0.58 3  -     Y - - -
    175 Andromache        -           8.31  0.15   101.17  0.0819 - -                  8.324      - 0.21 0.30 3  -     - - - -
    176 Iduna             -           8.20  0.15   120.56  0.0638 - -                 11.2877     - 0.14 0.43 3  -     Y - - -
    177 Irma              -           9.49  0.15    73.22  0.0527 - -                 13.856      - 0.24 0.37 3  -     - - - -
    178 Belisana          -           9.6   0.31    35.50  0.2026 - -                 12.323      - 0.08 0.18 3  -     Y - - -
    179 Klytaemnestra     -           8.15  0.15    77.69  0.1609 - -                 11.173      - 0.35 0.55 3  -     Y - - -
    180 Garumna           -          10.31  0.15    48.26  0.057  - -                 23.866      - 0.42 0.6  3  -     Y - - -
    181 Eucharis          -           7.84  0.15   106.66  0.1135 - -                 52.23       - 0.05 0.15 3  -     - - - -
    182 Elsa              -           9.12  0.15    43.68  0.2083 - -                 80.088      - 0.34 0.72 3  -     Y - - -
    183 Istria            -           9.68  0.15    35.43  0.1890 - -                 11.77       - 0.20 0.31 3  -     Y - - -
    184 Dejopeja          -           8.31  0.15    66.47  0.1897 - -                  6.455      - 0.25 0.3  3  -     Y - - -
    185 Eunike            -           7.62  0.15   157.51  0.0638 - -                 21.797      - 0.14 0.22 3  -     Y - - -
    186 Celuta            -           8.91  0.15    49.99  0.1929 - -                 19.842      - 0.4  0.55 3  -     Y - - -
    187 Lamberta          -           7.98 -0.04   132.46  0.0647 - -                 10.670      - 0.23 0.32 3  -     Y - - -
    188 Menippe           -           9.39  0.15    38.33  0.2108 - -                 11.98       - -.99 0.28 3- -     Y - - -
    189 Phthia            -           9.6   0.23    40.38  0.1566 - -                 22.346      - 0.06 0.28 3  -     Y - - -
    190 Ismene            -           7.73  0.15   158.33  0.057  - -                  6.52       - 0.10 0.16 3  -     Y - - -
    191 Kolga             -           9.07  0.15   101.03  0.0408 - -                 17.604      - 0.21 0.40 3  -     - - - -
    192 Nausikaa          -           7.13  0.03   103.26  0.2330 - -                 13.625      - 0.15 0.40 3  -     Y - - -
    193 Ambrosia          -           9.68  0.15    34.44  0.20   - -                  6.581      - 0.10 0.53 3  -     Y - - -
    194 Prokne            -           7.68  0.15   168.42  0.0528 - -                 15.679      - 0.05 0.27 3  -     - - - -
    195 Eurykleia         -           9.01  0.15    85.71  0.0599 - -                 16.521      - 0.10 0.24 3  -     - - - -
    196 Philomela         -           6.54  0.15   136.39  0.2299 - -                  8.3340     - 0.07 0.40 3  -     Y - - -
    197 Arete             -           9.18  0.15    29.18  0.4417 - -                  6.6084     - 0.10 0.16 3  -     - - - -
    198 Ampella           -           8.33  0.15    57.16  0.2517 - -                 10.379      - 0.03 0.22 3  -     - - - -
    199 Byblis            -           8.3   0.15   121.78  0.057  - -                  5.2201     - 0.05 0.15 3  A     Y - - -
    200 Dynamene          -           8.26  0.15   128.36  0.0533 - -                 37.394      - -.99 0.10 3  4     - - - -
    201 Penelope          -           8.54  0.17    87.72  0.0881 - -                  3.7474     - 0.11 0.73 3  -     Y - - -
    202 Chryseis          -           7.57  0.15    85.58  0.2261 - -                 23.670      - 0.04 0.28 3  -     - - - -
    203 Pompeja           -           8.76  0.15   116.25  0.0410 - -                 24.052      - -.99 0.10 3  -     - - - -
    204 Kallisto          -           8.89  0.15    48.57  0.2082 - -                 19.489      - 0.09 0.26 3  -     - - - -
    205 Martha            -           9.23  0.15    80.58  0.0553 - -                 14.911      - 0.08 0.50 3  -     - - - -
    206 Hersilia          -           8.68  0.15   102.23  0.057  - -                 11.122      - 0.08 0.20 3  -     - - - -
    207 Hedda             -           9.92  0.15    57.70  0.0552 - -                 30.098      - 0.09 0.11 3  4     - - - -
    208 Lacrimosa         -           9.32  0.15    40.70  0.1995 - -                 14.085      - 0.15 0.33 3  -     Y - - -
